t,p_x,p_y,p_z
0.0,0.7550869428039864,-0.6511579828272308,0.3
0.04,0.7544504949125571,-0.6500351707947346,0.30943388313690995
0.08,0.753640734678528,-0.648682088745818,0.33301769327528663
0.12,0.7526636222596914,-0.6470848166947195,0.3700728319582508
0.16,0.751571917177921,-0.6452629652696921,0.41478304240369923
0.2,0.7510960000124077,-0.6422091326932561,0.4635805338522309
0.24,0.7527477677951331,-0.6357187299645939,0.5157941019118172
0.28,0.7575522244745921,-0.6243412716004965,0.5707529751121452
0.32,0.7663145154004858,-0.6069410970766189,0.6276788245215384
0.36,0.7794940382939272,-0.5828896343798257,0.6859865862851768
0.4,0.7974091647418792,-0.5517714455081725,0.7451464444482884
0.44,0.8201345702461441,-0.5135020096077627,0.8048377214834045
0.48,0.8476496594258841,-0.4681405197336221,0.8648302298117955
0.52,0.8797786629264488,-0.41598009220526666,0.9250496232626422
0.56,0.9162781547138145,-0.3574135724820344,0.9854867431627239
0.6,0.9567789781603271,-0.2929897825350939,1.0462217748546538
0.64,1.0008764307889582,-0.22332220299953723,1.1073577718246232
0.68,1.0481022998346874,-0.14912058969301364,1.1690169875621235
0.72,1.0979798460617807,-0.07111833622865622,1.2313060577461794
0.76,1.1500011015715192,0.009903686490735131,1.2943125571999003
0.8,1.2036690882325933,0.09318022473222243,1.3580881532664935
0.84,1.2584835433068815,0.17794878678796752,1.4226470255864383
0.88,1.3139673769293725,0.2634964686886445,1.4879646673781821
0.92,1.369672224807338,0.3491435055600444,1.5539816283383938
0.96,1.4251932012403545,0.43428623602739824,1.6206085128428103
1.0,1.4801753635737327,0.5183900372614805,1.687734082709809
1.04,1.5343175840595271,0.6010065868771362,1.7552355630856247
1.08,1.5873672987211533,0.6817567237541352,1.8229859229112475
1.12,1.6391221311707367,0.7603382576864425,1.8908622538835334
1.16,1.689431542994574,0.836516763354218,1.9587528768087465
1.2,1.7382012157719908,0.9101374911304194,2.0265606832067395
1.24,1.7853916626885489,0.9811157466361763,2.094204372800566
1.28,1.8310073415300858,1.0494389943879041,2.161618560335389
1.32,1.8751000191512217,1.115161467182405,2.2287553559203985
1.36,1.9177550187159973,1.178402545169889,2.295582100807032
1.4000000000000001,1.9590879188452115,1.2393283959672905,2.362078306392835
1.44,1.9992418459529235,1.29813426414164,2.4282299528257907
1.48,2.0383737001305935,1.3550453323340068,2.494027504599672
1.52,2.0766595956779472,1.410315281223858,2.5594646492216357
1.56,2.114289475773013,1.4642169310758812,2.6245351037408358
1.6,2.1514532702499394,1.5170424361294486,2.68922820467882
1.6400000000000001,2.188331185332257,1.5690910255724366,2.753528730797812
1.68,2.2250931433431638,1.620663069997328,2.817414372521998
1.72,2.261896392263499,1.67204877024753,2.880858100795782
1.76,2.298898177649329,1.7235267228535152,2.9438289447077275
1.8,2.3362457934016816,1.7753529236797823,3.00629242572413
1.84,2.3740796786455967,1.8277515915263332,3.068210146811244
1.8800000000000001,2.412519173120907,1.8809105718760097,3.129545350199141
1.92,2.451662672533847,1.9349849172453812,3.1902632120658945
1.96,2.491571323303655,1.990094183380135,3.250333034333148
2.0,2.5322807347539737,2.0463231957652126,3.3097294710138434
2.04,2.5737981946762423,2.103732091850413,3.3684308851419655
2.08,2.6161214349062387,2.1623472151765712,3.4264213470759994
2.12,2.6592336143926905,2.2221600886975663,3.483690880295791
2.16,2.703110443792305,2.283138299613055,3.5402320610912783
2.2,2.7477179068273774,2.3452207339469497,3.5960434038610254
2.24,2.7930103006389353,2.40831264969856,3.651128213531284
2.2800000000000002,2.838921820427276,2.4723056535202677,3.7054921428929917
2.32,2.885369915317978,2.537076534449464,3.7591444200227486
2.36,2.932266824109248,2.602497124983432,3.812094382696347
2.4,2.9795218321045667,2.6684300174357323,3.8643533390887512
2.44,3.0270501435036037,2.734725511157498,3.9159314930195857
2.48,3.074761950127141,2.8012398273898516,3.966837448301319
2.52,3.12256538212621,2.867827254452851,4.0170807434878
2.56,3.170363454464545,2.934344733888361,4.066667953781156
2.6,3.2180631006256,3.000653985542401,4.115602230146465
2.64,3.265568069767442,3.0666175666931177,4.163888189488946
2.68,3.3127899839957813,3.1321049831768555,4.211530078285744
2.72,3.359661939498916,3.197028067657385,4.2569963869671374
2.7600000000000002,3.4061218938667275,3.261055866800373,4.299436321924023
2.8000000000000003,3.452105135091455,3.3235533237000645,4.338828380872459
2.84,3.497787525033008,3.3840616601110454,4.375196975408983
2.88,3.543631891945213,3.4421847864242023,4.408607810815722
2.92,3.5899640423884396,3.4976623298883074,4.439135574474343
2.96,3.637079448917039,3.5502891865269137,4.466845294002151
3.0,3.68516061002449,3.599967440241484,4.491825354596405
3.04,3.7343405852061666,3.6466414881273312,4.5141694051546075
3.08,3.7846731032281666,3.6903320152343166,4.53399133407348
3.12,3.836186257392012,3.7310935447417006,4.551412143211172
3.16,3.888851175059692,3.769045050068136,4.566565815912667
3.2,3.94262047015921,3.8043256088410655,4.579588011118698
3.24,3.997403292689814,3.8371028652171972,4.590617735544125
3.2800000000000002,4.053104003057824,3.8675449621092257,4.599788806241702
3.3200000000000003,4.109623356767461,3.8957858997562704,4.607547434593642
3.36,4.166560866515612,3.9216817330666123,4.614163373471458
3.4,4.223143909453749,3.944751693656066,4.619629177694489
3.44,4.27880027431864,3.964692773285382,4.623940468450704
3.48,4.333018179661806,3.981262738380465,4.627070953109026
3.52,4.385445627985005,3.994353395153738,4.629023537490204
3.56,4.435792098505879,4.003897463535593,4.629803623308504
3.6,4.483873879074052,4.0099003328055645,4.62951064151061
3.64,4.529627938625039,4.012220502203636,4.628190017183281
3.68,4.573183827982874,4.010560681212277,4.625828615345413
3.72,4.614667197536442,4.004750595425395,4.622441767002152
3.7600000000000002,4.6542543938954966,3.9946931362547335,4.618064955037926
3.8000000000000003,4.692103235464235,3.9803956138651726,4.6127591002335615
3.84,4.728389891640367,3.9619263108432596,4.606599689120466
3.88,4.7632748336857285,3.9394274154267457,4.599677552113072
3.92,4.796939586671803,3.9130779189962017,4.592091029490203
